graph_class,seed,nodes,edges,density,is_dense,avg_clustering_coefficient,avg_betweenness_centrality,avg_degree_centrality,avg_path_length,small_world_sigma,modularity
grid_2d,93,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,94,100,3441,0.695152,True,0.696062,0.003111,0.695152,1.304848,0.835142,0.042895
dense_random,94,100,4451,0.899192,True,0.899125,0.001029,0.899192,1.100808,0.931892,0.016634
powerlaw,94,100,291,0.058788,False,0.127983,0.016749,0.058788,2.641414,2.154961,0.344044
powerlaw,94,100,475,0.09596,False,0.184521,0.012498,0.09596,2.224848,1.767957,0.259958
complete,94,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,94,100,488,0.098586,False,0.613131,0.027932,0.098586,3.737374,3.363632,0.628888
unit_disk,94,100,1040,0.210101,False,0.671345,0.01442,0.210101,2.413131,2.009233,0.447722
grid_2d,94,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,94,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,95,100,3482,0.703434,True,0.702594,0.003026,0.703434,1.296566,0.836034,0.041903
dense_random,95,100,4431,0.895152,True,0.895205,0.00107,0.895152,1.104848,0.929541,0.017161
powerlaw,95,100,291,0.058788,False,0.164556,0.016491,0.058788,2.616162,2.797521,0.347764
powerlaw,95,100,475,0.09596,False,0.194807,0.012371,0.09596,2.212323,1.877076,0.240702
complete,95,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,95,100,517,0.104444,False,0.6323,0.026392,0.104444,3.586465,3.327669,0.578671
unit_disk,95,100,1109,0.22404,False,0.68544,0.013403,0.22404,2.313535,1.965007,0.41863
grid_2d,95,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,95,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,96,100,3485,0.70404,True,0.705731,0.00302,0.70404,1.29596,0.839267,0.041353
dense_random,96,100,4478,0.904646,True,0.905048,0.000973,0.904646,1.095354,0.935757,0.014617
powerlaw,96,100,291,0.058788,False,0.146928,0.016646,0.058788,2.631313,2.483451,0.364007
powerlaw,96,100,475,0.09596,False,0.177717,0.012488,0.09596,2.223838,1.703538,0.253401
complete,96,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,96,100,591,0.119394,False,0.648925,0.02462,0.119394,3.461967,2.879737,0.593551
unit_disk,96,100,1187,0.239798,False,0.691607,0.012962,0.239798,2.270303,1.847164,0.436827
grid_2d,96,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,96,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,97,100,3476,0.702222,True,0.702345,0.003039,0.702222,1.297778,0.836739,0.044866
dense_random,97,100,4503,0.909697,True,0.909768,0.000921,0.909697,1.090303,0.938586,0.014813
powerlaw,97,100,291,0.058788,False,0.159924,0.016195,0.058788,2.587071,2.749351,0.348673
powerlaw,97,100,475,0.09596,False,0.20034,0.012501,0.09596,2.225051,1.919344,0.251116
complete,97,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,97,100,493,0.099596,False,0.694722,0.029843,0.099596,3.924646,3.576565,0.704311
unit_disk,97,100,986,0.199192,False,0.691546,0.015246,0.199192,2.494141,2.149907,0.500379
grid_2d,97,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,97,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,98,100,3422,0.691313,True,0.69184,0.00315,0.691313,1.308687,0.833327,0.048268
dense_random,98,100,4441,0.897172,True,0.897158,0.001049,0.897172,1.102828,0.930707,0.016101
powerlaw,98,100,291,0.058788,False,0.139277,0.016366,0.058788,2.603838,2.378968,0.347351
powerlaw,98,100,475,0.09596,False,0.209119,0.012517,0.09596,2.226667,2.001997,0.246156
complete,98,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,98,100,518,0.104646,False,0.669912,0.030144,0.104646,3.954141,3.188977,0.641001
unit_disk,98,100,1022,0.206465,False,0.692955,0.015362,0.206465,2.505455,2.044428,0.51496
grid_2d,98,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,98,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,99,100,3524,0.711919,True,0.710744,0.00294,0.711919,1.288081,0.838787,0.038294
dense_random,99,100,4455,0.9,True,0.89973,0.00102,0.9,1.1,0.93218,0.016313
powerlaw,99,100,291,0.058788,False,0.093248,0.016949,0.058788,2.66101,1.558544,0.337372
powerlaw,99,100,475,0.09596,False,0.177524,0.012498,0.09596,2.224848,1.700912,0.246832
complete,99,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,99,100,547,0.110505,False,0.649476,0.026698,0.110505,3.616364,3.128357,0.64863
unit_disk,99,100,1099,0.22202,False,0.698979,0.013692,0.22202,2.341818,2.00349,0.519953
grid_2d,99,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,99,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,100,100,3464,0.699798,True,0.699283,0.003063,0.699798,1.300202,0.8351,0.04245
dense_random,100,100,4454,0.899798,True,0.899756,0.001022,0.899798,1.100202,0.932292,0.017281
powerlaw,100,100,291,0.058788,False,0.202586,0.015553,0.058788,2.524242,3.56947,0.339923
powerlaw,100,100,475,0.09596,False,0.173588,0.012486,0.09596,2.223636,1.664108,0.24747
complete,100,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,100,100,512,0.103434,False,0.660411,0.027289,0.103434,3.674343,3.43993,0.637579
unit_disk,100,100,1045,0.211111,False,0.675554,0.014106,0.211111,2.382424,2.034874,0.489248
grid_2d,100,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,100,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,101,100,3408,0.688485,True,0.689911,0.003179,0.688485,1.311515,0.833427,0.04184
dense_random,101,100,4484,0.905859,True,0.906031,0.000961,0.905859,1.094141,0.936278,0.013889
powerlaw,101,100,291,0.058788,False,0.156972,0.015859,0.058788,2.554141,2.733395,0.343395
powerlaw,101,100,475,0.09596,False,0.192706,0.012482,0.09596,2.223232,1.847719,0.254103
complete,101,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,101,100,502,0.101414,False,0.641167,0.026939,0.101414,3.64,3.467761,0.650335
unit_disk,101,100,1031,0.208283,False,0.694873,0.014651,0.208283,2.435758,2.084286,0.531307
grid_2d,101,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,101,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
